"Add Product","Add Product"
"A total of %1 images(s) have been uploaded to Instagram.","A total of %1 images(s) have been uploaded to Instagram."
"Add Categories Name as Hashtags","Add Categories Name as Hashtags"
"Add Custom Hashtags","Add Custom Hashtags"
"Add More Hashtag","Add More Hashtag"
"Add Product Description to Post","Add Product Description to Post"
"All Store Views","All Store Views"
"Allow auto posting to Instagram after Saving Product","Allow auto posting to Instagram after Saving Product"
"Are you sure you wan't to post this product to Instagram?","Are you sure you wan't to post this product to Instagram?"
"Are you sure you wan't to re-post this product to Instagram?","Are you sure you wan't to re-post this product to Instagram?"
"Attribute Set","Attribute Set"
"Auto Instagram Post","Auto Instagram Post"
"Change status","Change status"
"Connection Success","Connection Success"
"Custom Hashtag","Custom Hashtag"
"Default Image","Default Image"
"Default Image will be uploaded when product have no Image available. Recommended 800x800 px","Default Image will be uploaded when product have no Image available. Recommended 800x800 px"
"Delete","Delete"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Description Template","Description Template"
"Disable","Disable"
"Enable","Enable"
"Enable Auto Hashtag and Description","Enable Auto Hashtag and Description"
"Enable Auto Instagram","Enable Auto Instagram"
"Enable Scheduled Auto Post","Enable Scheduled Auto Post"
"Frequency","Frequency"
"General Settings","General Settings"
"Hashtag Value","Hashtag Value"
"ID","ID"
"Images Description Settings","Images Description Settings"
"Instagram Action","Instagram Action"
"Instagram Status","Instagram Status"
"label","label"
"Limit Number of Posts","Limit Number of Posts"
"Magento Admin","Magento Admin"
"Manage Post By Products","Manage Post By Products"
"Manage Posts By Product","Manage Posts By Product"
"Marketing","Marketing"
"Missing Account Information, please check your configuration","Missing Account Information, please check your configuration"
"Name","Name"
"Page not found","Page not found"
"Password","Password"
"Please check product's images again <a target=""_blank"" href=""%1"">See more</a>","Please check product's images again <a target=""_blank"" href=""%1"">See more</a>"
"Post","Post"
"Post ""${ $.$data.name }"" to Instagram","Post ""${ $.$data.name }"" to Instagram"
"Post to Instagram","Post to Instagram"
"Posted","Posted"
"RePost","RePost"
"Scheduled Auto Post Settings","Scheduled Auto Post Settings"
"SKU","SKU"
"Something went wrong while posting to Instagram.","Something went wrong while posting to Instagram."
"Something went wrong while uploading to Instagram.","Something went wrong while uploading to Instagram."
"Start Time","Start Time"
"Starting Price","Starting Price"
"Status","Status"
"Store View","Store View"
"Test Connection","Test Connection"
"The product has been posted to <a target=""_blank"" href=""%1"">Instagram link</a>","The product has been posted to <a target=""_blank"" href=""%1"">Instagram link</a>"
"This action will try to use your provided data to login with Instagram API","This action will try to use your provided data to login with Instagram API"
"Thumbnail","Thumbnail"
"Type","Type"
"Unauthorized Instagram Account, check your user/password settings","Unauthorized Instagram Account, check your user/password settings"
"UnPosted","UnPosted"
"Unposted","Unposted"
"Update attributes","Update attributes"
"Username(Instagram Account)","Username(Instagram Account)"
"Visibility","Visibility"
"We can't save the Cron expression.","We can't save the Cron expression."
"Websites","Websites"
